,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
141,Erik Brannstrom\branner01,D,OTT,,CAR,W,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,0,,25,15:55,0,2,0,0,
142,Justin Braun\braunju01,D,PHI,@,TOR,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,17:11,0,1,0,0,
143,Connor Brown\brownco02,RW,OTT,,CAR,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,29,20:14,0,1,0,0,
144,Ian Cole\coleia01,D,COL,,CBJ,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,20:53,0,3,0,0,
145,Nic Dowd\dowdni01,C,WSH,,VEG,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,12:09,2,0,6,4,60.0
146,Brian Dumoulin\dumoubr01,D,PIT,,CHI,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,21:24,1,0,0,0,
147,Jordan Eberle\eberljo01,RW,NYI,,FLA,W,boxscore,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,20,14:47,0,1,0,0,
148,Mattias Ekholm\ekholma01,D,NSH,@,SJS,L-SO,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,33,29:14,0,3,0,0,
149,Lars Eller\ellerla01,C,WSH,,VEG,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,15:16,2,1,6,6,50.0
150,Justin Faulk\faulkju01,D,STL,@,CGY,W,boxscore,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,21:59,1,1,0,0,
