,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
62,Anders Bjork\bjorkan01,LW,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,14:59,1,1,0,0,
63,Brandon Carlo\carlobr01,D,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,16:25,1,2,0,0,
64,Erik Cernak\cernaer01,D,TBL,@,BUF,W,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,26,17:42,1,0,0,0,
65,Zdeno Chara\charazd01,D,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,19:18,1,0,0,0,
66,Anthony Cirelli\cirelan01,C,TBL,@,BUF,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:49,1,0,8,5,61.5
67,Connor Clifton\cliftco01,D,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:54,3,2,0,0,
68,Blake Coleman\colembl01,C,NJD,@,EDM,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,12:33,2,1,1,2,33.3
69,Charlie Coyle\coylech01,C/RW,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,17:32,2,0,10,10,50.0
70,Rasmus Dahlin\dahlira01,D,BUF,,TBL,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,18:50,0,0,0,0,
71,Nikolaj Ehlers\ehlerni01,LW,WPG,,VAN,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,18,17:16,0,0,0,0,
72,Christoffer Ehn\ehnch01,C,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:42,2,1,3,5,37.5
73,Loui Eriksson\erikslo01,LW,VAN,@,WPG,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:44,0,1,0,0,
74,Adam Erne\ernead01,LW,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:49,4,2,2,1,66.7
75,Zemgus Girgensons\girgeze01,C,BUF,,TBL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:53,1,0,1,1,50.0
76,Andy Greene\greenan01,D,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,21:25,0,2,0,0,
77,Matt Grzelcyk\grzelma01,D,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,21:21,0,0,0,0,
78,Nikita Gusev\gusevni01,LW,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,16,13:47,0,1,0,0,
79,David Gustafsson\gustada01,C,WPG,,VAN,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:42,0,0,1,2,33.3
80,Taylor Hall\hallta02,LW,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,19:39,1,1,0,0,
81,Danton Heinen\heineda01,C/LW,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:42,0,1,0,0,
82,Darren Helm\helmda01,C/LW,DET,,BOS,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:30,0,2,0,1,0.0
83,Nico Hischier\hischni01,C,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,16:48,0,0,2,9,18.2
84,Jack Hughes\hugheja03,C,NJD,@,EDM,L,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,16:33,1,0,6,9,40.0
85,Mathieu Joseph\josepma01,RW,TBL,@,BUF,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:59,0,0,0,0,
86,Jujhar Khaira\khairju01,LW,EDM,,NJD,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:16,2,1,0,0,
87,Dmitry Kulikov\kulikdm01,D,WPG,,VAN,W,boxscore,0,0,0,0,2,0,0,0,0,0,0,0,0,,25,19:34,2,2,0,0,
88,Sean Kuraly\kuralse01,C,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:10,0,1,5,4,55.6
89,Johan Larsson\larssjo02,LW/C,BUF,,TBL,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,16:31,1,1,2,12,14.3
90,Josh Leivo\leivojo01,LW,VAN,@,WPG,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:21,0,0,0,0,
