,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
575,Scott Harrington\harrisc01,26,CBJ,D,5,0,1,1,-4,4,-0.1,0,0,0,0,1,0,0,6,0.0,70,14:00,5,4,0,0,
576,Joe Hicketts\hickejo01,23,DET,D,4,0,1,1,-4,0,-0.1,0,0,0,0,1,0,0,4,0.0,72,18:01,8,7,0,0,
577,Niklas Hjalmarsson\hjalmni01,32,ARI,D,4,1,0,1,1,0,0.3,1,0,0,0,0,0,0,4,25.0,60,14:54,4,2,0,0,
578,Korbinian Holzer\holzeko01,31,ANA,D,14,0,1,1,1,13,0.4,0,0,0,0,0,0,1,14,0.0,243,17:21,31,30,0,0,
579,Matt Irwin\irwinma01,32,NSH,D,7,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,5,0.0,81,11:30,5,8,0,0,
580,Ross Johnston\johnsro02,25,NYI,LW,8,1,0,1,0,33,0.1,1,0,0,0,0,0,0,4,25.0,57,7:04,3,17,1,0,100.0
581,Max Jones\jonesma03,21,ANA,LW,13,0,1,1,-1,6,-0.2,0,0,0,0,1,0,0,22,0.0,162,12:25,1,8,4,3,57.1
582,Jujhar Khaira\khairju01,25,EDM,LW,17,1,0,1,-5,8,-0.2,1,0,0,0,0,0,0,19,5.3,214,12:35,5,27,4,2,66.7
583,Brett Kulak\kulakbr01,26,MTL,D,8,0,1,1,-1,4,0.0,0,0,0,0,1,0,0,10,0.0,123,15:25,9,7,0,0,
584,Oliver Kylington\kylinol01,22,CGY,D,14,0,1,1,0,4,0.4,0,0,0,0,1,0,0,12,0.0,187,13:23,7,5,0,0,
585,Joel L'Esperance\lespejo01,24,DAL,RW,3,1,0,1,0,2,0.2,1,0,0,0,0,0,0,2,50.0,22,7:21,1,1,0,1,0.0
586,Ryan Lindgren\lindgry01,21,NYR,D,4,0,1,1,2,2,0.3,0,0,0,0,1,0,0,4,0.0,63,15:52,2,3,0,0,
587,Par Lindholm\lindhpa01,28,BOS,C,7,1,0,1,2,0,0.1,1,0,0,0,0,0,0,7,14.3,79,11:20,4,3,24,20,54.5
588,Ilya Lyubushkin\lyubuil01,25,ARI,D,8,0,1,1,2,10,0.4,0,0,0,0,1,0,0,10,0.0,95,11:52,7,16,0,0,
589,Brandon Manning\mannibr01,29,EDM,D,8,1,0,1,0,2,0.3,1,0,0,0,0,0,0,8,12.5,91,11:23,5,7,0,0,
590,Jordan Martinook\martijo01,27,CAR,LW,4,0,1,1,1,4,0.1,0,0,0,0,1,0,0,3,0.0,48,11:58,2,7,0,4,0.0
591,Mike Matheson\mathemi01,25,FLA,D,10,0,1,1,0,0,0.2,0,0,0,0,0,1,0,18,0.0,214,21:27,13,5,0,0,
592,Greg McKegg\mckeggr01,27,NYR,C,7,1,0,1,-2,0,0.0,0,0,1,0,0,0,0,6,16.7,62,8:50,1,1,7,6,53.8
593,Tyler Motte\mottety01,24,VAN,C,6,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,3,0.0,80,13:16,7,11,1,2,33.3
594,Valeri Nichushkin\nichuva01,24,COL,RW,12,0,1,1,0,5,-0.1,0,0,0,0,1,0,0,18,0.0,129,10:47,4,9,0,1,0.0
595,Joakim Nordstrom\nordsjo02,27,BOS,C,5,1,0,1,0,0,0.1,1,0,0,0,0,0,0,9,11.1,68,13:33,1,10,0,0,
596,Joakim Nygard\nygarjo01,27,EDM,F,6,1,0,1,-2,0,0.0,1,0,0,0,0,0,0,9,11.1,62,10:15,2,6,1,0,100.0
597,Cedric Paquette\paquece01,26,TBL,C,5,1,0,1,-3,0,-0.1,1,0,0,0,0,0,0,5,20.0,64,12:49,4,9,25,18,58.1
598,Nic Petan\petanni01,24,TOR,C,5,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,6,0.0,44,8:42,0,4,0,0,
599,Brandon Pirri\pirribr01,28,VEG,C,10,0,1,1,-3,6,-0.2,0,0,0,0,1,0,0,19,0.0,128,12:51,1,4,4,3,57.1
600,Alan Quine\quineal01,26,CGY,C,8,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,12,8.3,82,10:14,1,5,1,0,100.0
601,Brad Richardson\richabr02,34,ARI,C,9,0,1,1,4,4,0.1,0,0,0,0,1,0,0,13,0.0,122,13:34,3,9,45,52,46.4
602,Tobias Rieder\riedeto01,27,CGY,C,13,1,0,1,-5,0,-0.2,1,0,0,0,0,0,0,18,5.6,144,11:02,7,2,1,3,25.0
603,Juuso Riikola\riikoju01,26,PIT,D,5,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,8,0.0,59,11:45,3,11,0,0,
604,Evan Rodrigues\rodriev01,26,BUF,C,7,0,1,1,0,0,0.0,0,0,0,0,1,0,0,10,0.0,69,9:51,1,3,9,8,52.9
605,Kevin Rooney\rooneke01,26,NJD,C,11,0,1,1,4,6,0.0,0,0,0,0,1,0,0,12,0.0,139,12:38,4,11,63,54,53.8
606,Nicolas Roy\royni01,22,VEG,C,3,1,0,1,1,2,0.2,1,0,0,1,0,0,0,5,20.0,27,8:57,1,5,7,8,46.7
607,Jan Rutta\ruttaja02,29,TBL,D,2,0,1,1,-5,2,-0.3,0,0,0,0,1,0,0,3,0.0,33,16:23,0,4,0,0,
608,Joakim Ryan\ryanjo02,26,LAK,D,5,0,1,1,0,2,0.2,0,0,0,0,1,0,0,4,0.0,82,16:29,4,4,0,0,
609,Miikka Salomaki\salommi01,26,NSH,RW,5,1,0,1,2,4,0.1,1,0,0,1,0,0,0,2,50.0,61,12:09,1,9,0,0,
610,Brent Seabrook\seabrbr01,34,CHI,D,13,1,0,1,-4,4,0.1,0,1,0,0,0,0,0,18,5.6,235,18:04,21,25,0,0,
611,Andrej Sekera\sekeran01,33,DAL,D,13,0,1,1,0,6,0.5,0,0,0,0,1,0,0,15,0.0,268,20:36,22,7,0,0,
612,Nick Shore\shoreni01,27,TOR,C,14,1,0,1,1,8,0.0,1,0,0,0,0,0,0,5,20.0,130,9:18,6,7,67,44,60.4
613,Radim Simek\simekra01,27,SJS,D,2,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,5,20.0,40,20:11,7,6,0,0,
614,Gemel Smith\smithge02,25,TBL,C,3,1,0,1,0,4,0.1,1,0,0,0,0,0,0,1,100.0,28,9:10,2,1,11,7,61.1
615,Carson Soucy\soucyca01,25,MIN,D,13,0,1,1,4,2,0.6,0,0,0,0,1,0,0,10,0.0,179,13:48,10,21,0,0,
616,Chris Stewart\stewach02,32,PHI,RW,8,0,1,1,-2,12,-0.1,0,0,0,0,1,0,0,2,0.0,65,8:10,2,16,0,0,
617,Alex Tuch\tuchal01,23,VEG,RW,2,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,33.3,17,8:42,0,0,0,0,
618,Carsen Twarynski\twaryca01,22,PHI,F,10,1,0,1,0,4,0.0,1,0,0,0,0,0,0,10,10.0,103,10:20,4,25,0,2,0.0
619,T.J. Tynan\tynant.01,27,COL,C,1,0,1,1,1,0,0.1,0,0,0,0,0,1,0,0,,11,10:41,0,0,0,0,
620,Carter Verhaeghe\verhaca01,24,TBL,C,10,0,1,1,0,2,-0.1,0,0,0,0,1,0,0,12,0.0,99,9:52,0,0,13,15,46.4
621,Mikhail Vorobyev\vorobmi01,23,PHI,C,6,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,4,0.0,53,8:49,1,0,16,19,45.7
622,Andrew Agozzino\agozzan01,29,PIT,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,2,1:44,0,1,0,1,0.0
623,Mason Appleton\applema01,24,WPG,C,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,9,0.0,93,10:21,2,2,0,1,0.0
624,Josh Archibald\archijo01,27,EDM,RW,8,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,8,0.0,90,11:18,2,10,0,0,
625,Mark Barberio\barbema01,29,COL,D,5,0,0,0,2,4,0.2,0,0,0,0,0,0,0,7,0.0,81,16:08,8,2,0,0,
626,Drake Batherson\bathedr01,21,OTT,C,2,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,0,,26,13:01,2,1,1,0,100.0
627,J.C. Beaudin\beaudje01,22,OTT,C,7,0,0,0,-3,5,-0.2,0,0,0,0,0,0,0,4,0.0,52,7:25,1,14,22,16,57.9
628,Nathan Beaulieu\beaulna01,27,WPG,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,19,18:46,0,1,0,0,
629,Alex Biega\biegaal01,31,DET,D,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,8,0.0,70,13:55,4,6,0,0,
630,Jake Bischoff\bischja01,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,6,0.0,62,15:36,5,6,0,0,
631,Tobias Bjornfot\bjornto01,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,,39,12:58,0,0,0,0,
632,Jesper Boqvist\boqvije01,21,NJD,C,5,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,4,0.0,57,11:25,2,4,1,2,33.3
633,Henrik Borgström\borgshe01,22,FLA,C,4,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,3,0.0,50,12:23,0,1,13,11,54.2
634,Robert Bortuzzo\borturo01,30,STL,D,7,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,2,0.0,84,12:01,8,10,0,0,
635,Connor Bunnaman\bunnaco01,21,PHI,F,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,38,9:35,1,3,4,6,40.0
636,Daniel Carr\carrda01,28,NSH,LW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,26,8:46,1,4,0,1,0.0
637,Trevor Carrick\carritr01,25,SJS,D,3,0,0,0,0,5,0.0,0,0,0,0,0,0,0,1,0.0,17,5:47,0,1,0,0,
638,Peter Cehlarik\cehlape01,24,BOS,LW,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,22,10:51,2,2,1,1,50.0
639,Blake Comeau\comeabl01,33,DAL,RW,3,0,0,0,-2,6,-0.1,0,0,0,0,0,0,0,5,0.0,32,10:39,0,5,1,0,100.0
640,Carl Dahlstrom\dahlsca01,25,WPG,D,10,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,7,0.0,162,16:15,8,5,0,0,
641,Trevor Daley\daleytr01,36,DET,D,11,0,0,0,-4,6,-0.1,0,0,0,0,0,0,0,10,0.0,164,14:52,9,0,0,0,
642,Jonathan Davidsson\davidjo03,22,OTT,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,5,4:56,0,0,0,0,
643,Travis Dermott\dermotr01,23,TOR,D,4,0,0,0,5,0,0.4,0,0,0,0,0,0,0,2,0.0,47,11:49,3,2,0,0,
644,Justin Dowling\dowliju01,29,DAL,C,12,0,0,0,0,6,-0.2,0,0,0,0,0,0,0,13,0.0,129,10:44,6,8,14,18,43.8
645,Gabriel Dumont\dumonga01,29,MIN,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,35,11:30,2,6,5,7,41.7
646,Joel Edmundson\edmunjo01,26,CAR,D,16,0,0,0,0,19,0.2,0,0,0,0,0,0,0,20,0.0,281,17:34,25,20,0,0,
647,Christoffer Ehn\ehnch01,23,DET,C,10,0,0,0,-5,0,-0.4,0,0,0,0,0,0,0,4,0.0,121,12:03,4,13,4,3,57.1
648,Loui Eriksson\erikslo01,34,VAN,LW,7,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,8,0.0,71,10:05,2,0,0,0,
649,Adam Erne\ernead01,24,DET,LW,12,0,0,0,-6,14,-0.4,0,0,0,0,0,0,0,17,0.0,141,11:47,4,23,3,1,75.0
650,Martin Fehervary\feherma01,20,WSH,D,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,4,0.0,43,14:29,0,4,0,0,
651,Cale Fleury\fleurca01,21,MTL,D,11,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,9,0.0,161,14:38,15,32,0,0,
652,Rhett Gardner\gardnrh01,23,DAL,C,7,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,8,0.0,71,10:12,1,4,21,22,48.8
653,Julien Gauthier\gauthju01,22,CAR,RW,2,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,17,8:25,0,2,1,1,50.0
654,Brian Gibbons\gibbobr02,31,CAR,C,8,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,5,0.0,84,10:27,6,1,0,0,
655,Dennis Gilbert\gilbede01,23,CHI,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,47,15:42,2,17,0,0,
656,John Gilmour\gilmojo01,26,BUF,D,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0.0,57,19:02,3,2,0,0,
657,Cody Goloubef\golouco01,30,OTT,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,15,14:42,1,4,0,0,
658,Kevin Gravel\graveke01,27,TOR,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,33,11:05,3,1,0,0,
659,Noah Gregor\gregono01,21,SJS,C,8,0,0,0,-4,2,-0.2,0,0,0,0,0,0,0,5,0.0,68,8:31,1,9,1,5,16.7
660,David Gustafsson\gustada01,19,WPG,C,9,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,54,6:00,3,2,19,15,55.9
661,John Hayden\haydejo01,24,NJD,C,7,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0.0,77,11:01,1,10,1,3,25.0
662,Tim Heed\heedti01,29,SJS,D,11,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,11,0.0,107,9:42,3,5,0,0,
663,Cameron Hughes\hugheca01,23,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,10,9:53,2,0,0,0,
664,Mark Jankowski\jankoma01,25,CGY,C,16,0,0,0,-8,4,-0.5,0,0,0,0,0,0,0,9,0.0,168,10:29,8,4,50,50,50.0
665,Steven Kampfer\kampfst01,31,BOS,D,2,0,0,0,2,2,0.2,0,0,0,0,0,0,0,3,0.0,25,12:31,1,3,0,0,
666,Karson Kuhlman\kuhlmka01,24,BOS,C,8,0,0,0,-2,2,-0.3,0,0,0,0,0,0,0,13,0.0,103,12:53,2,6,0,1,0.0
667,Tom Kuhnhackl\kuhnhto01,28,NYI,RW,6,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,8,0.0,69,11:33,4,4,0,0,
668,Adam Larsson\larssad01,27,EDM,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,22,22:19,4,3,0,0,
669,Mark Letestu\letesma01,34,WPG,C,7,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,74,10:36,5,2,23,20,53.5
670,Tyler Lewington\lewinty01,25,WSH,D,5,0,0,0,-2,17,-0.1,0,0,0,0,0,0,0,2,0.0,52,10:26,5,10,0,0,
671,Adam Lowry\lowryad01,26,WPG,LW,14,0,0,0,0,9,-0.3,0,0,0,0,0,0,0,16,0.0,185,13:15,4,36,73,63,53.7
672,Isac Lundestrom\lundeis01,20,ANA,C,3,0,0,0,2,0,0.0,0,0,0,0,0,0,0,3,0.0,34,11:15,1,1,13,10,56.5
673,Eetu Luostarinen\luostee01,21,CAR,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,9,9:21,0,1,4,3,57.1
674,Martin Marincin\marinma01,27,TOR,D,7,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,6,0.0,83,11:51,6,5,0,0,
675,Dylan McIlrath\mcilrdy01,27,DET,D,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,13,13:06,1,0,0,0,
676,Jayson Megna\megnaja01,29,COL,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,21,5:19,2,2,0,0,
677,Jacob Middleton\middlja01,24,SJS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,2,2:13,1,2,0,0,
678,Brandon Montour\montobr01,25,BUF,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,19,18:57,2,1,0,0,
679,Samuel Morin\morinsa01,24,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,13,12:32,0,2,0,0,
680,Mirco Mueller\muellmi01,24,NJD,D,7,0,0,0,-1,11,0.0,0,0,0,0,0,0,0,5,0.0,105,15:00,6,3,0,0,
681,Connor Murphy\murphco02,26,CHI,D,6,0,0,0,0,2,0.1,0,0,0,0,0,0,0,11,0.0,121,20:11,6,15,0,0,
682,Aaron Ness\nessaa01,29,ARI,D,6,0,0,0,3,0,0.3,0,0,0,0,0,0,0,3,0.0,69,11:34,4,2,0,0,
683,Frans Nielsen\nielsfr01,35,DET,C,13,0,0,0,-6,2,-0.5,0,0,0,0,0,0,0,21,0.0,173,13:17,6,9,38,49,43.7
684,Sami Niku\nikusa01,23,WPG,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,17,17:01,3,1,0,0,
685,Richard Panik\panikri01,28,WSH,RW,8,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,7,0.0,95,11:51,2,5,6,2,75.0
686,Brendan Perlini\perlibr01,23,TOT,LW,5,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,9,0.0,62,12:25,1,4,0,0,
687,Joel Persson\perssjo02,25,EDM,D,8,0,0,0,-1,0,0.1,0,0,0,0,0,0,0,9,0.0,123,15:21,8,3,0,0,
688,Ryan Poehling\poehlry01,21,MTL,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,19,9:29,3,3,2,8,20.0
689,Roman Polak\polakro01,33,DAL,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,9:04,2,2,0,0,
690,Nikolai Prokhorkin\prokhni01,26,LAK,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,28,13:52,0,4,10,10,50.0
691,Dalton Prout\proutda01,29,SJS,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,16,16:05,1,2,0,0,
692,Lukas Radil\radillu01,29,SJS,C,10,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,9,0.0,102,10:14,1,11,1,2,33.3
693,Anthony Richard\richaan01,23,NSH,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,4,4:10,0,0,0,0,
694,German Rubtsov\rubtsge01,21,PHI,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,23,7:35,4,2,5,7,41.7
695,Patrick Russell\russepa01,27,EDM,RW,14,0,0,0,-3,2,-0.3,0,0,0,0,0,0,0,20,0.0,163,11:37,8,13,0,1,0.0
696,Ashton Sautner\sautnas01,25,VAN,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,3,2:49,0,0,0,0,
697,Luca Sbisa\sbisalu01,30,WPG,D,4,0,0,0,2,0,0.2,0,0,0,0,0,0,0,2,0.0,60,14:59,4,9,0,0,
698,Luke Schenn\schenlu01,30,TBL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,33,16:41,1,3,0,0,
699,Nick Seeler\seeleni01,26,MIN,D,3,0,0,0,-2,6,-0.1,0,0,0,0,0,0,0,2,0.0,43,14:20,6,1,0,0,
700,Logan Shaw\shawlo01,28,WPG,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,6:51,1,1,1,0,100.0
701,Riley Sheahan\sheahri01,28,EDM,C,12,0,0,0,-8,0,-0.5,0,0,0,0,0,0,0,9,0.0,137,11:27,2,5,62,56,52.5
702,Kole Sherwood\sherwko01,23,CBJ,RW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,4,0.0,13,6:15,1,4,0,0,
703,Givani Smith\smithgi01,21,DET,RW,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,32,10:32,0,3,0,0,
704,Zack Smith\smithza01,31,CHI,C,8,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,5,0.0,78,9:48,2,9,6,10,37.5
705,Riley Stillman\stillri01,21,FLA,D,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,7,0.0,48,15:56,4,1,0,0,
706,C.J. Suess\frankcl01,25,WPG,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,6:26,0,1,1,3,25.0
707,Evgeny Svechnikov\svechev01,23,DET,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,7,0.0,33,8:20,1,5,0,0,
708,Jordan Szwarz\szwarjo01,28,OTT,RW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,15,4:55,0,5,3,5,37.5
709,Conor Timmins\timmico01,21,COL,D,2,0,0,0,2,0,0.2,0,0,0,0,0,0,0,1,0.0,21,10:25,0,0,0,0,
710,Dominic Toninato\tonindo01,25,FLA,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,11,11:12,0,0,4,0,100.0
711,Yakov Trenin\treniya01,23,NSH,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,13,12:35,0,1,0,0,
712,Alexander Volkov\volkoal01,22,TBL,RW,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,27,13:27,1,2,1,3,25.0
713,Oliver Wahlstrom\wahlsol01,19,NYI,RW,9,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,9,0.0,93,10:17,3,10,0,3,0.0
714,Yannick Weber\weberya01,31,NSH,D,11,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,8,0.0,142,12:52,7,8,0,0,
715,Danil Yurtaykin\yurtada01,22,SJS,F,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,52,13:00,1,3,0,0,
