,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
148,Jeff Skinner\skinnje01,27,BUF,LW,15,7,3,10,-1,8,1.3,7,0,0,0,0,3,0,55,12.7,269,17:56,4,3,11,8,57.9
149,Dylan Strome\stromdy01,22,CHI,C,15,3,7,10,3,4,1.0,3,0,0,0,5,2,0,25,12.0,240,15:59,4,6,49,70,41.2
150,Vladimir Tarasenko\tarasvl01,28,STL,RW,10,3,7,10,-2,0,0.9,2,1,0,0,5,2,0,26,11.5,162,16:11,7,15,0,0,
151,Jason Zucker\zuckeja01,28,MIN,LW,16,5,5,10,-9,6,0.8,2,3,0,0,4,1,0,28,17.9,254,15:54,7,11,4,10,28.6
152,Thomas Chabot\chaboth01,23,OTT,D,15,1,8,9,-3,6,0.9,1,0,0,0,6,2,0,44,2.3,396,26:25,17,12,0,0,
153,Aaron Ekblad\ekblaaa01,23,FLA,D,14,1,8,9,2,6,1.3,1,0,0,0,7,0,1,37,2.7,342,24:28,12,8,0,0,
154,Mattias Ekholm\ekholma01,29,NSH,D,16,3,6,9,8,6,1.7,2,0,1,1,5,0,1,36,8.3,359,22:28,21,8,0,0,
155,Victor Hedman\hedmavi01,29,TBL,D,11,2,7,9,-2,13,1.0,1,1,0,1,5,2,0,14,14.3,238,21:39,17,12,0,0,
156,Miro Heiskanen\heiskmi01,20,DAL,D,17,4,5,9,7,2,2.6,4,0,0,0,5,0,0,36,11.1,424,24:55,27,3,0,0,
157,Jack Hughes\hugheja03,18,NJD,C,14,4,5,9,-7,2,0.6,1,3,0,1,4,1,0,28,14.3,221,15:49,3,3,62,86,41.9
158,Brad Hunt\huntbr01,31,MIN,D,16,5,4,9,2,0,1.9,3,2,0,0,0,4,0,26,19.2,250,15:36,9,1,0,0,
159,Marcus Johansson\johanma03,29,BUF,C,15,4,5,9,2,4,1.0,3,1,0,1,5,0,0,11,36.4,249,16:37,7,8,42,73,36.5
160,Tyler Johnson\johnsty01,29,TBL,C,13,4,5,9,2,0,0.9,4,0,0,1,3,2,0,24,16.7,204,15:41,3,17,29,39,42.6
161,Oscar Klefbom\klefbos01,26,EDM,D,17,1,8,9,-6,2,1.1,1,0,0,0,4,4,0,42,2.4,437,25:42,42,11,0,0,
162,Ilya Kovalchuk\kovalil01,36,LAK,LW,16,3,6,9,-10,12,0.4,2,1,0,0,4,2,0,32,9.4,248,15:29,7,9,0,3,0.0
163,Kevin Labanc\labanke01,24,SJS,RW,17,5,4,9,-14,10,0.5,4,1,0,2,3,1,0,39,12.8,279,16:23,2,6,0,3,0.0
164,Hampus Lindholm\lindhha01,26,ANA,D,15,0,9,9,3,12,1.4,0,0,0,0,6,1,2,20,0.0,327,21:49,17,5,0,0,
165,Denis Malgin\malgide01,23,FLA,C,13,3,6,9,3,4,0.9,2,1,0,0,5,0,1,26,11.5,179,13:48,7,5,23,50,31.5
166,Jared McCann\mccanja01,23,PIT,C,14,5,4,9,12,0,1.5,5,0,0,2,4,0,0,26,19.2,194,13:51,9,21,52,61,46.0
167,Jake Muzzin\muzzija01,30,TOR,D,16,3,6,9,4,8,1.5,3,0,0,0,5,0,1,31,9.7,353,22:02,24,24,0,0,
168,Ryan Nugent-Hopkins\nugenry01,26,EDM,C,17,1,8,9,-2,6,0.5,0,1,0,1,4,4,0,42,2.4,334,19:38,15,7,87,83,51.2
169,Ondrej Palat\palaton01,28,TBL,LW,13,5,4,9,6,8,1.1,4,1,0,1,3,1,0,30,16.7,219,16:52,10,22,1,2,33.3
170,Neal Pionk\pionkne01,24,WPG,D,16,2,7,9,7,4,2.0,2,0,0,0,5,2,0,29,6.9,372,23:13,12,31,0,0,
171,Derek Ryan\ryande01,33,CGY,C,19,3,6,9,5,4,1.0,3,0,0,0,5,1,0,27,11.1,267,14:02,12,3,77,93,45.3
172,Dominik Simon\simondo01,25,PIT,C,16,2,7,9,0,4,0.7,2,0,0,0,7,0,0,33,6.1,263,16:27,8,11,0,0,
173,Carl Soderberg\soderca01,34,ARI,C,16,5,4,9,3,8,1.1,3,2,0,0,3,1,0,27,18.5,263,16:25,3,20,85,89,48.9
174,Paul Stastny\stastpa01,34,VEG,C,17,5,4,9,-4,10,0.9,1,4,0,2,2,2,0,32,15.6,298,17:31,7,19,129,124,51.0
175,John Tavares\tavarjo01,29,TOR,C,10,4,5,9,0,2,0.9,4,0,0,1,2,3,0,20,20.0,180,18:01,3,3,77,71,52.0
176,Brady Tkachuk\tkachbr01,20,OTT,LW,15,4,5,9,0,17,0.8,4,0,0,0,5,0,0,55,7.3,272,18:09,7,46,23,33,41.1
177,Devon Toews\toewsde01,25,NYI,D,15,2,7,9,1,2,1.5,2,0,0,1,5,2,0,26,7.7,289,19:15,21,10,0,0,
178,MacKenzie Weegar\weegama01,26,FLA,D,15,3,6,9,-3,13,1.1,3,0,0,0,6,0,0,32,9.4,310,20:41,8,21,0,0,
179,Cam Atkinson\atkinca01,30,CBJ,RW,16,3,5,8,-5,4,0.5,1,2,0,1,3,2,0,62,4.8,302,18:53,9,10,22,19,53.7
180,Anthony Beauvillier\beauvan01,22,NYI,LW,15,2,6,8,4,4,0.7,1,0,1,0,5,1,0,27,7.4,257,17:06,6,11,3,1,75.0
181,Sammy Blais\blaissa01,23,STL,LW,15,5,3,8,3,6,1.0,5,0,0,1,3,0,0,21,23.8,203,13:31,6,35,0,0,
182,Tyler Bozak\bozakty01,33,STL,C,17,2,6,8,2,4,0.6,1,0,1,0,6,0,0,24,8.3,254,14:57,7,11,90,70,56.3
183,T.J. Brodie\broditj01,29,CGY,D,19,0,8,8,2,12,1.5,0,0,0,0,7,1,0,21,0.0,371,19:32,24,3,0,0,
184,J.T. Compher\comphj.01,24,COL,LW,13,2,6,8,5,2,0.8,2,0,0,0,4,1,1,21,9.5,216,16:37,4,11,42,66,38.9
185,Anthony Duclair\duclaan01,24,OTT,LW,15,6,2,8,2,10,1.1,6,0,0,0,1,1,0,46,13.0,241,16:04,8,17,1,1,50.0
186,Cam Fowler\fowleca01,28,ANA,D,17,3,5,8,3,2,1.6,3,0,0,2,3,2,0,32,9.4,354,20:48,18,7,0,0,
